ANTONIO;GARCIA
YOUSSEF;ALBA
ALEIX;CABELLO
EMILIANO;GIMENO
EDUARD;CORRAL
SERAFIN;PULIDO
YERAY;NAVAS
OLIVER;ROJO
FAUSTINO;ARENAS
FRANCISCO ANTONIO;PUIG
JULEN;AGUADO
MAXIMO;SAIZ
FIDEL;SORIA
EMILIO JOSE;DOMINGO
JOSE ANDRES;AMADOR
RAMIRO;GALINDO
AMADOR;ESCRIBANO
LUIS ANTONIO;MENA
LUIS MARIA;VALLEJO
JESUS ANGEL;ASENSIO
JAIRO;CARO
CLAUDIO;VALENCIA
JULIO CESAR;RAMON
ION;LUCAS
ALI;POLO
EDGAR;NARANJO
ROGELIO;REINA
ENEKO;MATA
LUIS ANGEL;VILLALBA
JAN;AGUIRRE
MUSTAPHA;LINARES
SIMON;MORAN
LUCIANO;PAZ
LEO;OJEDA
MANUEL ANTONIO;LEAL
IGOR;BURGOS
MODESTO;CARRETERO
FLORENTINO;OLIVER
FRANCISCO MIGUEL;BONILLA
JACOBO;SOSA
JOAQUIM;ARAGON
PEDRO MANUEL;ROIG
ALEXANDRE;MOHAMED
ILDEFONSO;CARRION
GHEORGHE;CLEMENTE
EZEQUIEL;CASTELLANO
ALEXIS;CORDOBA
JUAN DIOS;VILLA
JOSE FERNANDO;CACERES
VASILE;ROSA
PAULINO;ANDREU
ANDREU;CARRERA
JUAN VICENTE;HERNANDO
AVELINO;CALERO
CELESTINO;CARDENAS
CONSTANTINO;COBO
ELADIO;CHACON
SATURNINO;JUAREZ
MANUEL JOSE;ALCARAZ
HASSAN;VELAZQUEZ
LEANDRO;CORREA
IOAN;SOLA
JUAN DIEGO;SAAVEDRA
CARLOS MANUEL;DOMENECH
ANTONIO JAVIER;TOLEDO
JOSE DANIEL;RIERA
ANTONIO MIGUEL;ZAPATA
ANTONIO LUIS;LLORENTE
RUFINO;MORAL
JUAN ANDRES;VELA
LUIS JAVIER;SALGADO
PEDRO MARIA;CARBONELL
CAYETANO;VILLEGAS
BIEL;REQUENA
JORGE LUIS;ARRIBAS
PEDRO JESUS;ALFONSO
LUIS CARLOS;SEVILLA
JOSUE;AYALA
ROBERT;PELAEZ
NIL;BARRIOS
YAGO;PRADO
JUAN ANGEL;FONT
IAN;OLIVARES
GASPAR;PI¥EIRO
FABIAN;CARBALLO
FRANCESC XAVIER;LUIS
NESTOR;ESTEVE
ANGEL MANUEL;SOLIS
CLEMENTE;PINEDA
MANEL;QUINTERO
BASILIO;CAMARA
FELICIANO;FERREIRA
IMANOL;GRAU
RAIMUNDO;SALINAS
MUHAMMAD;PEREA
HILARIO;BOSCH
KHALID;CASTILLA
IAGO;CID
IBAI;DE LA ROSA
RICARD;CANTERO
MARCELO;MARQUES
EVARISTO;MARRERO
CONSTANTIN;BALLESTER
ARITZ;PINTO
MAURO;SANCHIS
ANDONI;PALOMO
MARCIAL;BAENA
ABDELLAH;AREVALO
ABDELKADER;NICOLAS
LAUREANO;RINCON
ELISEO;CASANOVA
JUAN ALBERTO;PORRAS
BENIGNO;MIRALLES
JOSU;BELMONTE
JESUS ANTONIO;SALA
ANGEL MARIA;LAGO
NARCISO;SINGH
SEGUNDO;RECIO
CECILIO;PALMA
BERNARDINO;PINO
JOSEBA;HERRANZ
FERNANDO JOSE;BARBA
AIMAR;CARDONA
PATRICIO;ARRANZ
MARIAN;MU¥IZ
ROBERTO CARLOS;VENTURA
OIER;COBOS
HICHAM;COLL
LUIS ENRIQUE;CABEZAS
BERNAT;BARREIRO
LEOPOLDO;CUADRADO
VALERIANO;MADRID
BRAIS;ANGULO
MARCEL;CERVERA
PEDRO PABLO;VAQUERO
DEMETRIO;VELEZ
MARKEL;OCA¥A
ANTONIO FRANCISCO;PUENTE
FLORIN;NAVARRETE
NICOLAE;BECERRA
FRANCISCO LUIS;GRANADOS
CESAREO;ALFARO
BRAHIM;OCHOA
BILAL;BELLO
CAMILO;PUJOL
MAURICIO;TAPIA
RAYAN;PERALTA
ABDELAZIZ;VERGARA
FABIO;GAMEZ
ANASTASIO;VALLS
DIDAC;ALCANTARA
HAMZA;LATORRE
CIPRIANO;CASTELLANOS
AYOUB;LOSADA
ALAN;MEJIAS
PEDRO JAVIER;DA SILVA
MICHAEL;CORRALES
LUCIO;EGEA
BRIAN;ROVIRA
OCTAVIO;CAMPO
BIENVENIDO;SASTRE
RODOLFO;FALCON
ANSELMO;BARRAGAN
BALTASAR;ESTRADA
ANTON;FRAILE
BERNABE;CEBRIAN
PEDRO MIGUEL;GODOY
AMADEO;HUERTAS
ROQUE;CEREZO
LAZARO;RUANO
CARLOS JOSE;CATALAN
TEOFILO;SEGOVIA
EULOGIO;BORREGO
JOSE FELIX;BARBERO
CASIMIRO;MORCILLO
LUCA;VALENZUELA
PLACIDO;ARJONA
MANUEL ALEJANDRO;AZNAR
JOSE PEDRO;PAVON
FRANCISCO BORJA;DEL VALLE
ADAN;GUIJARRO
JOSE GABRIEL;FAJARDO
ABDERRAHIM;FERREIRO
HAMID;DUARTE
JESUS MIGUEL;ARIZA
FULGENCIO;TORO
NOEL;CARVAJAL
CELSO;SOLE
MANUEL FRANCISCO;PEINADO
LUIS FRANCISCO;ROMERA
KARIM;CANOVAS
JOSE RAFAEL;MORILLO
FRANCISCO ASIS;ALCAIDE
BALDOMERO;MELERO
JUAN DAVID;SAINZ
ALAIN;JORGE
MAXIMINO;AGUDO
HERMINIO;LLAMAS
IGNASI;LOBATO
ENZO;GORDILLO
ALEXANDRU;GALVAN
PELAYO;VALDES
JOSE DOMINGO;ROSALES
ABDESLAM;TEJERO
JUAN ENRIQUE;REAL
PAUL;PORTILLO
IBRAHIM;ESPEJO
JESUS JAVIER;ROYO
MIHAI;TIRADO
AQUILINO;LIN
ALBERTO JOSE;BARRIO
JORGE JUAN;DAVILA
GUMERSINDO;GONZALO
STEFAN;CRIADO
ANAS;DORADO
BONIFACIO;DUQUE
MARIUS;GRANDE
PABLO JOSE;WANG
DRISS;CHAMORRO
VICTORINO;FREIRE
ELOI;FRIAS
NORBERTO;FIGUEROA
MARINO;MOYANO
VICENTE JOSE;SOLANO
DENIS;CALLEJA
VICTOR JOSE;PIZARRO
VIDAL;ROSADO
ORLANDO;DE MIGUEL
HIPOLITO;ZAMBRANO
LUIS ALFONSO;OLMEDO
ANIBAL;HUERTA
MELCHOR;PLA
JAMAL;MOSQUERA
ELEUTERIO;AMAYA
JUAN GABRIEL;ALCAZAR
JOSE ALEJANDRO;AVILES
JOSE PABLO;TENA
YASSINE;ALCALDE
JUAN FERNANDO;ALCALA
BE¥AT;PANIAGUA
VICENT;FERRERO
GAEL;DEL POZO
CARLOS ENRIQUE;SAENZ
ARSENIO;PENA
ROSENDO;LLORENS
MAMADOU;VIVES
VIRGILIO;PAZOS
IBON;REBOLLO
ANTONIO MARIA;NOGUERA
HIGINIO;SALGUERO
MARCOS ANTONIO;HERAS
JOSE TOMAS;LAFUENTE
AZIZ;GARZON
IBAN;BONET
DUMITRU;CHAVES
JOSE JESUS;SERNA
URBANO;PAEZ
GUSTAVO ADOLFO;SALCEDO
SAMIR;ARAUJO
CARLOS ANTONIO;BARTOLOME
SEVERINO;POVEDA
GAIZKA;MATEU
JOSE ALFONSO;PI¥ERO
JOSE EMILIO;HERVAS
AUGUSTO;OLMO
MAXIMILIANO;ABELLAN
CEFERINO;BRITO
EDUARDO JOSE;BARRANCO
PEDRO ANGEL;ARCE
VENANCIO;QUIROS
IONEL;VALLES
MIGUEL ANTONIO;VALIENTE
NOE;HARO
ANTONIO DAVID;CABEZA
ABELARDO;GINER
MAX;BORRAS
LLUC;AHMED
ISAIAS;LLOPIS
JOSE EDUARDO;ANDRADE
FRANCISCO RAMON;DOS SANTOS
ALEJANDRO JOSE;BORJA
INOCENCIO;SOUTO
LUIS EDUARDO;ALVARADO
PEDRO JUAN;MELLADO
MOUSSA;MIRA
AXEL;GARCES
NABIL;BILBAO
ANGEL JOSE;YA¥EZ
ENRIQUE JOSE;PALOMINO
PRIMITIVO;LAGUNA
ISMAIL;BARCELO
ZAKARIA;FUERTES
JOSE JULIAN;MOLERO
JOSE BENITO;AFONSO
ALEJO;PALOMARES
BAUTISTA;OSORIO
JESUS ALBERTO;OSUNA
JORGE MANUEL;RIBAS
MANUEL MARIA;CARRE¥O
JOSE RAUL;DEL CASTILLO
NOUREDDINE;OROZCO
ADIL;CALLE
GENARO;MAESTRE
JOSE AGUSTIN;CASTELLO
YASSIN;SAN JOSE
AYMAN;CASTA¥EDA
MIMOUN;DEL PINO
DYLAN;MONTESINOS
JUAN RAFAEL;VILCHEZ
BRAULIO;PRATS
JOSE RICARDO;ZHANG
ARKAITZ;BELLIDO
NEMESIO;CEBALLOS
CONRADO;ZAFRA
PRUDENCIO;BAEZA
AGAPITO;OLMOS
ANDREI;MINGUEZ
RICHARD;PAREJA
DIEGO JOSE;PUERTAS
ALESSANDRO;FELIPE
LUIS FELIPE;URBANO
JON ANDER;LEIVA
JOHN;GASCON
UNAX;VIZCAINO
FERNANDO JAVIER;CARRERAS
JORGE ANTONIO;PERALES
LANDER;JAEN
DELFIN;SEBASTIAN
LEONCIO;ZARAGOZA
MOHAMMAD;PERIS
ANGEL ANTONIO;MURCIA
ENDIKA;BUSTAMANTE
VIOREL;LUENGO
VICTOR HUGO;GAGO
CARLOS ANDRES;CHAVEZ
CARLOS JESUS;MONTORO
SECUNDINO;CAMPILLO
LUIS JOSE;TEJADA
JUAN CRUZ;ARCOS
INDALECIO;ALEGRE
PETER;DE CASTRO
FAUSTO;BA¥OS
AGUSTI;CA¥AS
OVIDIO;VALERA
ANXO;ENRIQUEZ
JOSE JULIO;CASAL
HUMBERTO;MONGE
YOUNES;ACEVEDO
URKO;FUSTER
KILIAN;LEDESMA
AMBROSIO;SOBRINO
ANICETO;VILAR
IONUT;SANJUAN
GABINO;NADAL
BRYAN;TEJEDOR
GENIS;BUSTOS
MOSTAFA;SEOANE
ESTEVE;TELLO
JULIO ALBERTO;CAZORLA
EDER;VASQUEZ
ANTONIO ANGEL;SALMERON
JACOB;FERRE
PABLO ANTONIO;PALLARES
CARLOS MIGUEL;CONESA
EFREN;SARMIENTO
VLADIMIR;JEREZ
YOEL;VERDU
SILVESTRE;DE LEON
CESAR AUGUSTO;ZABALA
PEDRO FRANCISCO;MARI
ABDELLATIF;ARMAS
ANTONIO RAMON;BAREA
SABINO;BAEZ
GIOVANNI;RIPOLL
NICANOR;FERRANDO
JUAN SEBASTIAN;ORELLANA
LUIS MARIANO;ROCHA
HELIODORO;VEIGA
LLOREN€;MONTIEL
ABDERRAHMAN;MORO
DESIDERIO;JARA
JUAN ALFONSO;JORDAN
LEON;MAYOR
HERMENEGILDO;BARRERO
LINO;DEL CAMPO
SIXTO;CATALA
HORACIO;TORTOSA
SEVERIANO;CLIMENT
ANGEL JESUS;SANDOVAL
IBRAHIMA;MOREIRA
RUBEN DARIO;PRADOS
FRANCISCO DAVID;FRAGA
ABDELILAH;LOBO
ARTUR;TABOADA
ADRIANO;AYUSO
HONORIO;PRADA
ESTANISLAO;SAN MARTIN
NACHO;MAYA
RAFAEL ANTONIO;BEJARANO
SALAH;ARTEAGA
EKAITZ;AMOROS
VICENTE JAVIER;TAMAYO
CARLOS LUIS;MORON
GEORGE;ABRIL
ADAY;PADRON
BELTRAN;DIEGUEZ
VICEN€;PE¥ALVER
MHAMED;ALEMAN
VOLODYMYR;YE
JONAS;BATISTA
LUIS IGNACIO;PATI¥O
FRANCISCO PAULA;ALVARO
JULIO JOSE;INFANTE
DAMASO;YUSTE
ANTOLIN;MANSO
TEO;MAROTO
YERAI;GALERA
ERNEST;BARROS
JOSE MARTIN;CERDA
MOURAD;ALMEIDA
LAHCEN;LI
VENTURA;BERENGUER
NOAH;ALBERT
OLEKSANDR;XU
ANGEL FRANCISCO;NOGALES
EUSTAQUIO;PINILLA
JESUS DAVID;ATIENZA
JOSE GREGORIO;MOTA
KAMAL;MACHADO
WALID;PEDROSA
ANDRES FELIPE;MANRIQUE
BENEDICTO;CANALES
JUAN DANIEL;RIBERA
TONI;VILLAVERDE
YAHYA;MIRO
ALBINO;MIGUEZ
TARIK;SAMPEDRO
JOSE ALFREDO;LUCENA
NELSON;ECHEVERRIA
CELEDONIO;DIEGO
JUAN SALVADOR;DEL OLMO
RENE;VI¥AS
RAFAEL ANGEL;DUE¥AS
HERNAN;TERUEL
THOMAS;MEJIA
VICENTE MANUEL;VILLENA
WENCESLAO;MEDRANO
IGNACIO JAVIER;JARAMILLO
MIGUEL JOSE;UBEDA
SILVERIO;RAYA
DIEGO JESUS;CIFUENTES
MANUEL LUIS;SEVILLANO
RAFAEL JESUS;MANZANARES
JESUS FRANCISCO;ORTU¥O
FLORIAN;ALMAGRO
JORGE ALBERTO;ECHEVARRIA
NARCIS;NOVOA
OLEGARIO;PERDOMO
ABDELKARIM;MERCHAN
ACHRAF;CHECA
ARCADIO;ARES
SERVANDO;DE LAS HERAS
NICASIO;TRIGO
AMIN;ACEDO
JONAY;INIESTA
EPIFANIO;MORILLAS
JOSEP LLUIS;ROBLEDO
ABRAHAN;ESPA¥A
SEBASTIA;LUJAN
FERNANDO MANUEL;FRANCISCO
JUAN JAVIER;CAPARROS
XAVI;FRANCES
OSCAR LUIS;HERREROS
ARGIMIRO;PUERTO
CARLOS EDUARDO;DE DIEGO
THIAGO;MACIA
FOUAD;QUEVEDO
AMADO;BOLA¥OS
EMMANUEL;SEGARRA
WILLIAM;GRANADO
OSCAR MANUEL;HERMIDA
FARID;BALAGUER
EGOITZ;MATAS
GILBERTO;TALAVERA
EL HASSAN;ESPADA
MANUEL RAMON;BERNABE
FRANCISCO GABRIEL;MONTA¥O
ROC;ZAMORANO
CHRISTOPHER;LIU
JOSE SALVADOR;WU
JOSE PASCUAL;IBARRA
ULISES;PUERTA
MANUEL ENRIQUE;TELLEZ
JOKIN;MONTILLA
JUSTINO;PERAL
JULIO ANTONIO;TORIBIO
COSTEL;PINA
LUIS JESUS;TORRE
ABILIO;PRAT
BALBINO;CUBERO
CARLOS MARIA;TOME
IGNACIO JOSE;MAYO
RAFAEL JOSE;BARBERA
RICARDO JOSE;MONZON
ANTONIO CARLOS;MARI¥O
AMANCIO;CORONADO
PETRU;BERNABEU
DONATO;BUENDIA
MOUNIR;MOLINERO
MUSTAFA;ALVES
ANTONIO JUAN;LAMAS
ZACARIAS;BADIA
VICTOR JAVIER;GIRALDO
FRANCESCO;CARRO
ANGEL MIGUEL;ENCINAS
MARIN;PALACIO
CRESCENCIO;DE LOS SANTOS
DIEGO FERNANDO;LLORET
JOSE ROBERTO;PEIRO
VICTORIO;ARANA
ANGEL DAVID;SANMARTIN
ABDELKRIM;MARTORELL
TELMO;CERVANTES
CARLOS FRANCISCO;RODENAS
JORGE ENRIQUE;SAURA
REMIGIO;VIVAS
CARLOS DANIEL;ZHOU
ALFONSO JOSE;PARRILLA
ROI;BOIX
ABDERRAHMANE;MELIAN
BUENAVENTURA;COSTAS
PABLO JESUS;CAMPS
FRANCISCO VICENTE;MELENDEZ
OUSSAMA;VALDIVIA
IMAD;MAYORAL
DIMAS;COCA
GIUSEPPE;TOVAR
AURELIANO;MARISCAL
MARK;QUILES
IULIAN;CA¥ETE
OIHAN;HINOJOSA
FERNANDO JESUS;PIQUERAS
ANDREA;PEDRAZA
ILYAS;FIDALGO
JUAN DOMINGO;NARVAEZ
PABLO MANUEL;FARI¥A
ABDELGHANI;REVUELTA
PERFECTO;ACU¥A
ANTONIO VICENTE;SEPULVEDA
ABDELMAJID;MIR
JESUS JOSE;PLANAS
ABDELALI;CARRERO
ABDELHAK;CUELLAR
ILIAS;URE¥A
JESUS RAMON;DIALLO
ABDOULAYE;ZURITA
DIEGO MANUEL;PICAZO
GIL;GAMERO
MANUEL VICENTE;GO¥I
VASYL;CA¥ADAS
ALVARO JOSE;ANDUJAR
ROMUALDO;SALES
ANTONINO;LEMA
CARLOS DAVID;CESPEDES
ENRIQUE MANUEL;GORDO
DANIEL JESUS;GIRON
JAOUAD;PARADA
ALEJANDRO MANUEL;PALAU
PATRICK;RIAL
AIRAM;SOLANA
LUIS ALFREDO;TORREGROSA
TIMOTEO;MESTRE
LUIS DAVID;FRUTOS
ANDRIY;CODINA
AMINE;PICO
SORIN;PERERA
JOSE SANTIAGO;SABATER
JESUS IGNACIO;ROMO
ANGEL JAVIER;CARRASCOSA
BARTOMEU;ALAMO
GUZMAN;GUISADO
FRANCISCO RAFAEL;AMOR
JUAN ESTEBAN;ARELLANO
CIRILO;SEGUI
ANDRE;ARNAU
EMIL;BOTELLA
FRANCISCO JUAN;FUENTE
MOHAMED AMIN;ADAN
DEREK;VILCHES
LAURENTINO;RIQUELME
COSME;VIERA
DAN;AMORES
JESUS CARLOS;MERA
AMIR;NOVO
LUIS RAMON;QUIROGA
MANUEL FERNANDO;CALATAYUD
ANTONIO RAFAEL;VEGAS
ANTHONY;DE DIOS
AUREL;ALI
JOSE EUGENIO;TOLEDANO
KOLDO;RIBES
DANEL;ESPINOZA
LUIS ALEJANDRO;CHICO
IMRAN;RODRIGUES
JOSE IVAN;NEVADO
MIQUEL ANGEL;ANTOLIN
JUAN AGUSTIN;CENTENO
ARIEL;HERRAIZ
JOSE JORGE;REVILLA
WALTER;LORA
GEORGI;PAREJO
FRANCISCO DANIEL;HERMOSO
FRANK;PALAZON
ANDRES JESUS;QUERO
EMETERIO;PELLICER
DANIEL ALEJANDRO;LABRADOR
FERNANDO LUIS;FARRE
ALFONSO CARLOS;CANTOS
SOUFIANE;BENAVIDES
ABDELHAMID;ANTUNEZ
ILIE;JIMENO
MANUEL ALBERTO;RAMIRO
DOROTEO;JAIME
AMALIO;DEL MORAL
QUIM;NEIRA
SANTIAGO JOSE;NIEVES
HODEI;TORRALBA
MAHAMADOU;CAAMA¥O
LUIS VICENTE;VICO
JUAN FELIPE;BELDA
JUAN MARCOS;SEMPERE
SANDRO;CORDON
JOAN CARLES;SILVESTRE
JOSE GUILLERMO;ALEMANY
ALBERTO MANUEL;VERDUGO
MIGUEL MARIA;POSTIGO
NIKOLAY;YAGUE
RAFEL;ELVIRA
FRANCISCO ANGEL;COMAS
MANUEL CARLOS;GUARDIOLA
ENRIQUE JAVIER;GUIRADO
AMABLE;RUS
JESUS LUIS;SACRISTAN
PABLO JAVIER;MEGIAS
JOSE MARIO;GUEVARA
ROLANDO;ROSELL
ETHAN;GABARRI
ABDESSAMAD;MANSILLA
JOSHUA;FONSECA
LISARDO;CAPDEVILA
EDELMIRO;CANTO
JOAN JOSEP;HOYOS
PAVEL;COLOMER
MICHEL;GALIANO
MIGUEL JESUS;URIARTE
REYES;FLOREZ
JOSE FELIPE;VACA
OSCAR JAVIER;CABANILLAS
SERGIO MANUEL;CA¥IZARES
FRUCTUOSO;BERROCAL
JUAN TOMAS;PI¥A
JUAN MARTIN;ARNAIZ
RAMON JOSE;SOUSA
OUSMANE;MONTENEGRO
JOSE DIEGO;KAUR
ONOFRE;SANS
KEPA;ROSELLO
HERIBERTO;AROCA
EKAIN;LLANOS
VIKTOR;PERELLO
JOSEP ANTONI;FEIJOO
MARCIANO;GISBERT
AMAR;RIO
MATEU;FIGUERAS
FACUNDO;GILABERT
NATALIO;TRILLO
OLEG;ESPIN
DAVID JOSE;CERDAN
JOSE DAMIAN;CRISTOBAL
ERICK;MONTEAGUDO
MAR€AL;SAN JUAN
CIRIACO;CORNEJO
JUAN EMILIO;MA¥AS
EVELIO;ALIAGA
PAULO;PORTELA
MOUSTAPHA;QUI¥ONES
CRISTOFER;MAZA
SAMI;OLIVEIRA
JULIO MANUEL;TUDELA
JOSE JAIME;GARRIGA
ALBERTO JESUS;CHAPARRO
SENEN;TORREJON
DENNIS;CAMPOY
CATALIN;AMAT
PAOLO;SECO
FERNANDO ANTONIO;AMADO
MACARIO;ZHU
ALBERTO JAVIER;MESEGUER
JOSEP ORIOL;REIG
JAMES;MATOS
FREDERIC;BETANCOR
DANIEL JOSE;JULIAN
DIEGO ANTONIO;TEJERA
JOSE MARIANO;MORILLA
STEFANO;HOLGADO
CALIXTO;MURIEL
AKRAM;CARRANZA
XOEL;BASTIDA
MANUEL DAVID;CARPIO
ANOUAR;ABREU
IGNACIO MARIA;MARMOL
ABDELHADI;BARRIENTOS
AMANDO;CAMINO
ANIOL;POPA
EL MOSTAFA;ESPINO
UBALDO;MERCADO
GUILLERMO JOSE;SAN MIGUEL
JUAN CAMILO;OLIVERA
DAVID JESUS;POP
REDA;VALCARCEL
ANER;CASTELLS
JOSE ESTEBAN;OVIEDO
CORNEL;MORERA
SAAD;SALDA¥A
SALUSTIANO;SAMPER
SERGIO JOSE;PLASENCIA
RAYCO;JULIA
ANDRES MANUEL;GUIRAO
YOUNESS;GAVILAN
JESUS FERNANDO;GASPAR
JUAN FELIX;CASALS
BLAI;RUZ
AMADOU;ZHENG
MIGUEL FRANCISCO;BENAVENTE
REGINO;PARIS
FRANCISCO TOMAS;LILLO
LUIS DANIEL;FLORIDO
JOSE LORENZO;NOGUEIRA
ROBERTO JOSE;LIMA
CHEIKH;MELGAR
IOSU;DE HARO
SERGIO ANTONIO;FERRERA
SERGEY;CHICA
RAMON ANTONIO;MORATO
JOAQUIN MANUEL;ANAYA
CARLOS FERNANDO;GOMIS
EDUARDO MANUEL;VALDERRAMA
LADISLAO;CALZADA
BORIS;FERRERAS
FRANCISCO ANDRES;CASARES
JOSE VICTOR;RECHE
JOSEPH;TUR
LIAM;PEREDA
FRANCISCO ALBERTO;JORDA
